toponimo	provincia	lon	lat
hintersee	gemeinde (MV)	14.261641	53.627649
leopoldshagen	gemeinde (MV)	13.896567	53.774464
liepgarten	gemeinde (MV)	14.028097	53.720146
lübs	gemeinde (MV)	13.88174	53.726126
luckow	gemeinde (MV)	14.156459	53.7068
meiersberg	gemeinde (MV)	13.943018	53.703523
mönkebude	gemeinde (MV)	13.962886	53.766944
vogelsang-warsin	gemeinde (MV)	14.163569	53.723365
bargischow	gemeinde (MV)	13.755535	53.832798
blesewitz	gemeinde (MV)	13.616904	53.826103
boldekow	gemeinde (MV)	13.593523	53.725082
bugewitz	gemeinde (MV)	13.830724	53.790407
butzow	gemeinde (MV)	13.647054	53.834881
ducherow	gemeinde (MV)	13.782807	53.764624
iven	gemeinde (MV)	13.428644	53.796527
krien	gemeinde (MV)	13.446462	53.830228
krusenfelde	gemeinde (MV)	13.393636	53.845065
medow	gemeinde (MV)	13.532946	53.838438
neu kosenow	gemeinde (MV)	13.755412	53.791434
neuenkirchen	gemeinde (MV)	13.568927	53.800528
postlow	gemeinde (MV)	13.575748	53.835186
rossin	gemeinde (MV)	13.704449	53.769859
sarnow	gemeinde (MV)	13.626423	53.751571
spantekow	gemeinde (MV)	13.520425	53.779015
stolpe an der peene	gemeinde (MV)	13.560041	53.873063
neetzow-liepen	gemeinde (MV)	13.406568	53.881912
alt tellin	gemeinde (MV)	13.244725	53.845954
bentzin	gemeinde (MV)	13.272797	53.945787
daberkow	gemeinde (MV)	13.301261	53.838959
jarmen	stadt (MV)	13.340233	53.924079
kruckow	gemeinde (MV)	13.236376	53.90128
tutow	gemeinde (MV)	13.242592	53.918969
völschow	gemeinde (MV)	13.33623	53.878459
behrenhoff	gemeinde (MV)	13.391812	54.005771
dargelin	gemeinde (MV)	13.354443	54.014802
dersekow	gemeinde (MV)	13.292466	54.046054
hinrichshagen	gemeinde (MV)	13.32391	54.066754
levenhagen	gemeinde (MV)	13.272006	54.08832
mesekenhagen	gemeinde (MV)	13.316622	54.149733
neuenkirchen	gemeinde (MV)	13.375918	54.118409
wackerow	gemeinde (MV)	13.344511	54.104712
weitenhagen	gemeinde (MV)	13.410717	54.054095
bergholz	gemeinde (MV)	14.168876	53.442023
blankensee	gemeinde (MV)	14.307369	53.511812
boock	gemeinde (MV)	14.247195	53.49377
glasow	gemeinde (MV)	14.272893	53.378091
grambow	gemeinde (MV)	14.335098	53.414224
krackow	gemeinde (MV)	14.265689	53.343613
löcknitz	gemeinde (MV)	14.212351	53.4533
nadrensee	gemeinde (MV)	14.348661	53.332535
penkun	stadt (MV)	14.23566	53.297789
plöwen	gemeinde (MV)	14.265153	53.464654
ramin	gemeinde (MV)	14.289734	53.414092
rossow	gemeinde (MV)	14.123524	53.474896
rothenklempenow	gemeinde (MV)	14.202804	53.515988
brünzow	gemeinde (MV)	13.565365	54.104731
hanshagen	gemeinde (MV)	13.542309	54.046024
katzow	gemeinde (MV)	13.672854	54.048988
kemnitz	gemeinde (MV)	13.533193	54.075684
kröslin	gemeinde (MV)	13.752524	54.117831
loissin	gemeinde (MV)	13.532163	54.112634
lubmin	gemeinde (MV)	13.61488	54.132846
neu boltenhagen	gemeinde (MV)	13.610231	54.065439
rubenow	gemeinde (MV)	13.6989	54.099356
wusterhusen	gemeinde (MV)	13.616257	54.115003
görmin	gemeinde (MV)	13.271276	53.991357
loitz	stadt (MV)	13.129572	53.973646
sassen-trantow	gemeinde (MV)	13.187334	54.02358
altwigshagen	gemeinde (MV)	13.835809	53.703845
ferdinandshof	gemeinde (MV)	13.889141	53.664748
hammer a.d.uecker	gemeinde (MV)	13.978606	53.599818
heinrichswalde	gemeinde (MV)	13.777084	53.613514
rothemühl	gemeinde (MV)	13.821924	53.594758
torgelow	stadt (MV)	14.010799	53.629276
wilhelmsburg	gemeinde (MV)	13.859025	53.64175
brietzig	gemeinde (MV)	13.904164	53.477016
fahrenwalde	gemeinde (MV)	14.066343	53.439371
groß luckow	gemeinde (MV)	13.829375	53.535942
jatznick	gemeinde (MV)	13.939446	53.580841
koblentz	gemeinde (MV)	14.132602	53.53311
krugsdorf	gemeinde (MV)	14.084454	53.524969
nieden	gemeinde (MV)	13.920918	53.440432
papendorf	gemeinde (MV)	13.946929	53.496293
polzow	gemeinde (MV)	14.061317	53.499429
rollwitz	gemeinde (MV)	13.977457	53.47244
schönwalde	gemeinde (MV)	13.904122	53.543397
viereck	gemeinde (MV)	14.041202	53.550435
zerrenthin	gemeinde (MV)	14.092893	53.495312
karlshagen	gemeinde (MV)	13.832312	54.113863
mölschow	gemeinde (MV)	13.833997	54.078161
peenemünde	gemeinde (MV)	13.770247	54.135851
trassenheide	gemeinde (MV)	13.862318	54.086968
zinnowitz	gemeinde (MV)	13.908919	54.076797
benz	gemeinde (MV)	14.07031	53.940693
dargen	gemeinde (MV)	14.065379	53.886857
garz	gemeinde (MV)	14.170027	53.882149
kamminke	gemeinde (MV)	14.206466	53.868539
korswandt	gemeinde (MV)	14.162694	53.918098
koserow	gemeinde (MV)	13.999692	54.049406
loddin	gemeinde (MV)	14.006635	54.023088
mellenthin	gemeinde (MV)	14.01198	53.923404
pudagla	gemeinde (MV)	14.068495	53.9682
rankwitz	gemeinde (MV)	13.928004	53.946939
stolpe auf usedom	gemeinde (MV)	13.988986	53.867737
ückeritz	gemeinde (MV)	14.046749	54.013567
usedom	stadt (MV)	13.92045	53.874003
zempin	gemeinde (MV)	13.953997	54.067387
zirchow	gemeinde (MV)	14.140752	53.891203
bandelin	gemeinde (MV)	13.378573	53.964782
gribow	gemeinde (MV)	13.489066	53.947426
groß kiesow	gemeinde (MV)	13.477075	54.012127
groß polzin	gemeinde (MV)	13.592577	53.894115
gützkow	stadt (MV)	13.409609	53.937507
klein bünzow	gemeinde (MV)	13.632334	53.931421
murchin	gemeinde (MV)	13.74274	53.905543
rubkow	gemeinde (MV)	13.722246	53.936343
schmatzin	gemeinde (MV)	13.551272	53.924291
wrangelsburg	gemeinde (MV)	13.59402	54.017065
ziethen	gemeinde (MV)	13.672308	53.887998
züssow	gemeinde (MV)	13.546049	53.981577
karlsburg	gemeinde (MV)	13.608854	53.971795
boizenburg/elbe	stadt (MV)	10.722631	53.374248
hagenow	stadt (MV)	11.192521	53.432045
lübtheen	stadt (MV)	11.08294	53.30062
ludwigslust	stadt (MV)	11.497142	53.326305
parchim	stadt (MV)	11.847644	53.425581
bengerstorf	gemeinde (MV)	10.846982	53.416733
besitz	gemeinde (MV)	10.859512	53.341635
brahlstorf	gemeinde (MV)	10.954396	53.365236
dersenow	gemeinde (MV)	10.888402	53.380292
gresse	gemeinde (MV)	10.745801	53.430286
greven	gemeinde (MV)	10.802258	53.478608
neu gülze	gemeinde (MV)	10.787932	53.381682
nostorf	gemeinde (MV)	10.653967	53.406837
schwanheide	gemeinde (MV)	10.684142	53.42934
teldau	gemeinde (MV)	10.802537	53.330132
tessin b.boizenburg	gemeinde (MV)	10.853129	53.397636
dömitz	stadt (MV)	11.248957	53.141778
grebs-niendorf	gemeinde (MV)	11.318115	53.241086
karenz	gemeinde (MV)	11.344488	53.230175
malk göhren	gemeinde (MV)	11.376556	53.214629
malliß	gemeinde (MV)	11.328852	53.212798
neu kaliß	gemeinde (MV)	11.292486	53.171501
vielank	gemeinde (MV)	11.140507	53.234587
gallin-kuppentin	gemeinde (MV)	12.168335	53.501509
granzin	gemeinde (MV)	11.943789	53.502834
kreien	gemeinde (MV)	12.054081	53.407675
kritzow	gemeinde (MV)	12.131564	53.445984
lübz	stadt (MV)	12.029001	53.461574
passow	gemeinde (MV)	12.053533	53.506577
siggelkow	gemeinde (MV)	11.93779	53.386821
werder	gemeinde (MV)	12.00816	53.500246
gehlsbach	gemeinde (MV)	12.130857	53.394281
ruhner berge	gemeinde (MV)	11.927852	53.31804
dobbertin	gemeinde (MV)	12.070443	53.622107
goldberg	stadt (MV)	12.089118	53.591077
mestlin	gemeinde (MV)	11.92708	53.580544
neu poserin	gemeinde (MV)	12.165439	53.552451
techentin	gemeinde (MV)	11.986955	53.587766
balow	gemeinde (MV)	11.717229	53.262969
brunow	gemeinde (MV)	11.811652	53.262445
dambeck	gemeinde (MV)	11.769276	53.242388
eldena	gemeinde (MV)	11.421518	53.230631
gorlosen	gemeinde (MV)	11.460874	53.185667
grabow	stadt (MV)	11.564527	53.278844
karstädt	gemeinde (MV)	11.489899	53.286786
kremmin	gemeinde (MV)	11.598372	53.249799
milow	gemeinde (MV)	11.540326	53.191363
möllenbeck	gemeinde (MV)	11.738619	53.285219
muchow	gemeinde (MV)	11.689672	53.313488
prislich	gemeinde (MV)	11.62174	53.272869
zierzow	gemeinde (MV)	11.686236	53.28354
alt zachun	gemeinde (MV)	11.337504	53.494331
bandenitz	gemeinde (MV)	11.28473	53.494516
belsch	gemeinde (MV)	11.204687	53.327314
bobzin	gemeinde (MV)	11.146894	53.478907
bresegard bei picher	gemeinde (MV)	11.298714	53.351837
gammelin	gemeinde (MV)	11.241684	53.512028
groß krams	gemeinde (MV)	11.266074	53.334137
hoort	gemeinde (MV)	11.360243	53.483489
hülseburg	gemeinde (MV)	11.194378	53.513166
kirch jesar	gemeinde (MV)	11.277452	53.44055
kuhstorf	gemeinde (MV)	11.24792	53.384197
moraas	gemeinde (MV)	11.302311	53.421816
pätow-steegen	gemeinde (MV)	11.138559	53.397896
picher	gemeinde (MV)	11.346389	53.348163
pritzier	gemeinde (MV)	11.07885	53.378689
redefin	gemeinde (MV)	11.199955	53.348849
strohkirchen	gemeinde (MV)	11.310293	53.394359
warlitz	gemeinde (MV)	11.147364	53.377053
toddin	gemeinde (MV)	11.136422	53.418596
alt krenzlin	gemeinde (MV)	11.309672	53.3174
bresegard bei eldena	gemeinde (MV)	11.368941	53.247208
göhlen	gemeinde (MV)	11.369618	53.307337
groß laasch	gemeinde (MV)	11.553194	53.346185
