toponimo	provincia	lon	lat
flensburg	stadt (SH)	9.43751	54.78252
kiel	stadt (SH)	10.13727	54.321775
lübeck	stadt (SH)	10.683932	53.866269
neumünster	stadt (SH)	9.988422	54.069895
brunsbüttel	stadt (SH)	9.13735	53.896932
heide	stadt (SH)	9.091156	54.193962
averlak	gemeinde (SH)	9.182663	53.941154
brickeln	gemeinde (SH)	9.221166	54.00849
buchholz	gemeinde (SH)	9.223774	53.987132
burg (dithmarschen)	gemeinde (SH)	9.26246	53.99748
dingen	gemeinde (SH)	9.125804	53.960888
eddelak	gemeinde (SH)	9.137433	53.945888
eggstedt	gemeinde (SH)	9.25927	54.054535
frestedt	gemeinde (SH)	9.176133	54.023523
großenrade	gemeinde (SH)	9.223435	54.02206
hochdonn	gemeinde (SH)	9.293145	54.019564
kuden	gemeinde (SH)	9.192822	53.967853
quickborn	gemeinde (SH)	9.206506	54.010081
sankt michaelisdonn	gemeinde (SH)	9.121257	53.994807
süderhastedt	gemeinde (SH)	9.20886	54.04991
diekhusen-fahrstedt	gemeinde (SH)	9.023165	53.946249
friedrichskoog	gemeinde (SH)	8.88014	54.005842
helse	gemeinde (SH)	9.010226	53.977556
kaiser-wilhelm-koog	gemeinde (SH)	8.926364	53.942933
kronprinzenkoog	gemeinde (SH)	8.964528	53.97171
marne	stadt (SH)	9.008761	53.953695
marnerdeich	gemeinde (SH)	8.982956	53.948483
neufeld	gemeinde (SH)	9.017576	53.907495
neufelderkoog	gemeinde (SH)	8.968827	53.906958
ramhusen	gemeinde (SH)	9.090658	53.941207
schmedeswurth	gemeinde (SH)	9.040335	53.926172
trennewurth	gemeinde (SH)	9.025792	54.000236
volsemenhusen	gemeinde (SH)	9.065625	53.967901
barkenholm	gemeinde (SH)	9.174339	54.237387
bergewöhrden	gemeinde (SH)	9.209426	54.318469
dellstedt	gemeinde (SH)	9.369143	54.237892
delve	gemeinde (SH)	9.252365	54.303978
dörpling	gemeinde (SH)	9.301925	54.260654
fedderingen	gemeinde (SH)	9.132642	54.281144
gaushorn	gemeinde (SH)	9.225318	54.194896
glüsing	gemeinde (SH)	9.216421	54.274547
groven	gemeinde (SH)	8.9891470000000009	54.300165
hemme	gemeinde (SH)	9.010966	54.28021
hennstedt	gemeinde (SH)	9.168248	54.283636
hövede	gemeinde (SH)	9.293409	54.243806
hollingstedt	gemeinde (SH)	9.226797	54.290548
karolinenkoog	gemeinde (SH)	8.965495	54.292554
kleve	gemeinde (SH)	9.123229	54.295706
krempel	gemeinde (SH)	9.027607	54.320019
lehe	gemeinde (SH)	9.025334	54.344168
linden	gemeinde (SH)	9.182428	54.252623
lunden	gemeinde (SH)	9.024249	54.330568
norderheistedt	gemeinde (SH)	9.146139	54.245331
pahlen	gemeinde (SH)	9.296387	54.267813
rehm-flehde-bargen	gemeinde (SH)	9.036287	54.303981
sankt annen	gemeinde (SH)	9.07975	54.345413
schalkholz	gemeinde (SH)	9.257028	54.246244
schlichting	gemeinde (SH)	9.089378	54.31014
tellingstedt	gemeinde (SH)	9.2822	54.219944
tielenhemme	gemeinde (SH)	9.398414	54.27746
wallen	gemeinde (SH)	9.269563	54.284766
welmbüttel	gemeinde (SH)	9.246826	54.196873
westerborstel	gemeinde (SH)	9.260601	54.220127
wiemerstedt	gemeinde (SH)	9.11111	54.269259
wrohm	gemeinde (SH)	9.379505	54.212642
süderdorf	gemeinde (SH)	9.343678	54.220732
süderheistedt	gemeinde (SH)	9.148463	54.23483
hemmingstedt	gemeinde (SH)	9.072111	54.147509
lieth	gemeinde (SH)	9.060773	54.15531
lohe-rickelshof	gemeinde (SH)	9.065603	54.187725
neuenkirchen	gemeinde (SH)	8.987884	54.235602
norderwöhrden	gemeinde (SH)	9.000232	54.192783
nordhastedt	gemeinde (SH)	9.182991	54.17205
ostrohe	gemeinde (SH)	9.130804	54.214
stelle-wittenwurth	gemeinde (SH)	9.066849	54.254357
wöhrden	gemeinde (SH)	8.994508	54.165463
weddingstedt	gemeinde (SH)	9.088863	54.239275
wesseln	gemeinde (SH)	9.075443	54.208327
albersdorf	gemeinde (SH)	9.2839950000000009	54.146557
arkebek	gemeinde (SH)	9.250362	54.160197
bargenstedt	gemeinde (SH)	9.144199	54.095594
barlt	gemeinde (SH)	9.058002	54.012444
bunsoh	gemeinde (SH)	9.320225	54.165522
busenwurth	gemeinde (SH)	9.041298	54.041407
elpersbüttel	gemeinde (SH)	9.047156	54.072963
epenwöhrden	gemeinde (SH)	9.052894	54.112805
gudendorf	gemeinde (SH)	9.1082	54.024736
immenstedt	gemeinde (SH)	9.299737	54.180686
krumstedt	gemeinde (SH)	9.177954	54.068684
meldorf	stadt (SH)	9.068784	54.090945
nindorf	gemeinde (SH)	9.114943	54.086722
odderade	gemeinde (SH)	9.190795	54.139384
offenbüttel	gemeinde (SH)	9.357994	54.169186
osterrade	gemeinde (SH)	9.353264	54.190212
sarzbüttel	gemeinde (SH)	9.184027	54.118843
schafstedt	gemeinde (SH)	9.293675	54.079915
schrum	gemeinde (SH)	9.251667	54.187229
wennbüttel	gemeinde (SH)	9.325945	54.139359
windbergen	gemeinde (SH)	9.117779	54.044978
wolmersdorf	gemeinde (SH)	9.103978	54.077114
nordermeldorf	gemeinde (SH)	9.013736	54.112068
tensbüttel-röst	gemeinde (SH)	9.228605	54.105741
büsum	gemeinde (SH)	8.859577	54.130341
büsumer deichhausen	gemeinde (SH)	8.890088	54.136175
friedrichsgabekoog	gemeinde (SH)	8.941082	54.157516
hedwigenkoog	gemeinde (SH)	8.840953	54.177985
hellschen-heringsand-unterschaar	gemeinde (SH)	8.872882	54.194536
hillgroven	gemeinde (SH)	8.874901	54.227921
norddeich	gemeinde (SH)	8.899964	54.218049
oesterdeichstrich	gemeinde (SH)	8.900566	54.158891
reinsbüttel	gemeinde (SH)	8.911057	54.179073
schülp	gemeinde (SH)	8.929943	54.241971
strübbel	gemeinde (SH)	8.971812	54.260389
süderdeich	gemeinde (SH)	8.91131	54.201711
warwerort	gemeinde (SH)	8.921723	54.141177
wesselburen	stadt (SH)	8.920686	54.212159
wesselburener deichhausen	gemeinde (SH)	8.937237	54.174947
wesselburenerkoog	gemeinde (SH)	8.876475	54.239438
westerdeichstrich	gemeinde (SH)	8.863517	54.162006
oesterwurth	gemeinde (SH)	8.991292	54.211016
geesthacht	stadt (SH)	10.371733	53.433112
lauenburg/elbe	stadt (SH)	10.554267	53.374189
mölln	stadt (SH)	10.691022	53.629521
ratzeburg	stadt (SH)	10.774492	53.699024
schwarzenbek	stadt (SH)	10.477663	53.502645
wentorf bei hamburg	gemeinde (SH)	10.2519	53.491012
behlendorf	gemeinde (SH)	10.667846	53.699475
berkenthin	gemeinde (SH)	10.638221	53.734488
bliestorf	gemeinde (SH)	10.602527	53.768797
düchelsdorf	gemeinde (SH)	10.580373	53.737072
göldenitz	gemeinde (SH)	10.631501	53.722025
kastorf	gemeinde (SH)	10.570134	53.748875
klempau	gemeinde (SH)	10.660387	53.762851
krummesse	gemeinde (SH)	10.641961	53.780123
niendorf bei berkenthin	gemeinde (SH)	10.626158	53.702417
rondeshagen	gemeinde (SH)	10.629717	53.753642
sierksrade	gemeinde (SH)	10.600344	53.736555
alt-mölln	gemeinde (SH)	10.658165	53.622775
bälau	gemeinde (SH)	10.621739	53.616381
borstorf	gemeinde (SH)	10.564234	53.613074
breitenfelde	gemeinde (SH)	10.632977	53.605112
grambek	gemeinde (SH)	10.68068	53.574025
hornbek	gemeinde (SH)	10.648548	53.5589
lehmrade	gemeinde (SH)	10.752721	53.5947
niendorf/stecknitz	gemeinde (SH)	10.609244	53.587228
schretstaken	gemeinde (SH)	10.539293	53.586533
talkau	gemeinde (SH)	10.568741	53.576852
woltersdorf	gemeinde (SH)	10.640176	53.576862
besenthal	gemeinde (SH)	10.743239	53.530139
bröthen	gemeinde (SH)	10.667034	53.480281
büchen	gemeinde (SH)	10.616482	53.480926
fitzen	gemeinde (SH)	10.64667	53.493942
göttin	gemeinde (SH)	10.703430000000001	53.533746
gudow	gemeinde (SH)	10.77219	53.555336
güster	gemeinde (SH)	10.680583	53.53952
klein pampau	gemeinde (SH)	10.586656	53.512681
langenlehsten	gemeinde (SH)	10.740533	53.499907
müssen	gemeinde (SH)	10.562546	53.494346
roseburg	gemeinde (SH)	10.624215	53.530505
schulendorf	gemeinde (SH)	10.561815	53.47331
siebeneichen	gemeinde (SH)	10.618693	53.510828
tramm	gemeinde (SH)	10.614693	53.56324
witzeeze	gemeinde (SH)	10.610144	53.452652
aumühle	gemeinde (SH)	10.313492	53.528598
börnsen	gemeinde (SH)	10.285588	53.476743
dassendorf	gemeinde (SH)	10.372665	53.488608
escheburg	gemeinde (SH)	10.309429	53.46713
hamwarde	gemeinde (SH)	10.421397	53.452847
hohenhorn	gemeinde (SH)	10.367611	53.475734
kröppelshagen-fahrendorf	gemeinde (SH)	10.315197	53.488589
wiershop	gemeinde (SH)	10.451895	53.442501
wohltorf	gemeinde (SH)	10.291254	53.517253
worth	gemeinde (SH)	10.408431	53.467545
basedow	gemeinde (SH)	10.583592	53.416151
buchhorst	gemeinde (SH)	10.568335	53.384993
dalldorf	gemeinde (SH)	10.610487	53.435521
juliusburg	gemeinde (SH)	10.506484	53.41715
krüzen	gemeinde (SH)	10.527113	53.401518
krukow	gemeinde (SH)	10.478187	53.418864
lanze	gemeinde (SH)	10.604387	53.386341
lütau	gemeinde (SH)	10.545404	53.435861
schnakenbek	gemeinde (SH)	10.50018	53.385426
wangelau	gemeinde (SH)	10.546567	53.453726
albsfelde	gemeinde (SH)	10.694451	53.679957
bäk	gemeinde (SH)	10.787081	53.716345
brunsmark	gemeinde (SH)	10.750236	53.617106
buchholz	gemeinde (SH)	10.745377	53.731393
einhaus	gemeinde (SH)	10.725697	53.714136
fredeburg	gemeinde (SH)	10.72727	53.674253
giesensdorf	gemeinde (SH)	10.713651	53.688273
groß disnack	gemeinde (SH)	10.69059	53.741974
groß grönau	gemeinde (SH)	10.750476	53.801387
groß sarau	gemeinde (SH)	10.737415	53.771827
harmsdorf	gemeinde (SH)	10.725868	53.700407
hollenbek	gemeinde (SH)	10.819794	53.592298
horst	gemeinde (SH)	10.77065	53.638591
kittlitz	gemeinde (SH)	10.918244	53.664141
klein zecher	gemeinde (SH)	10.873547	53.577268
kulpin	gemeinde (SH)	10.695812	53.71009
mechow	gemeinde (SH)	10.801815	53.717556
mustin	gemeinde (SH)	10.886235	53.68453
pogeez	gemeinde (SH)	10.729435	53.750929
römnitz	gemeinde (SH)	10.768957	53.710121
salem	gemeinde (SH)	10.827965	53.656405
schmilau	gemeinde (SH)	10.75597	53.664589
seedorf	gemeinde (SH)	10.866858	53.619223
sterley	gemeinde (SH)	10.817631	53.620115
ziethen	gemeinde (SH)	10.809322	53.693695
basthorst	gemeinde (SH)	10.47139	53.576616
brunstorf	gemeinde (SH)	10.425938	53.491554
dahmker	gemeinde (SH)	10.444516	53.587821
elmenhorst	gemeinde (SH)	10.537551	53.544876
fuhlenhagen	gemeinde (SH)	10.5266	53.572959
grabau	gemeinde (SH)	10.519825	53.513609
groß pampau	gemeinde (SH)	10.560301	53.521808
grove	gemeinde (SH)	10.492067	53.528123
gülzow	gemeinde (SH)	10.490939	53.442249
hamfelde	gemeinde (SH)	10.44893	53.597194
havekost	gemeinde (SH)	10.473088	53.539918
kankelau	gemeinde (SH)	10.56832	53.549311
kasseburg	gemeinde (SH)	10.415399	53.567213
köthel	gemeinde (SH)	10.510002	53.606936
kollow	gemeinde (SH)	10.458784	53.463155
kuddewörde	gemeinde (SH)	10.401901	53.587291
möhnsen	gemeinde (SH)	10.469197	53.559974
mühlenrade	gemeinde (SH)	10.48775	53.595838
sahms	gemeinde (SH)	10.532723	53.525807
duvensee	gemeinde (SH)	10.568351	53.693029
grinau	gemeinde (SH)	10.549505	53.775447
groß boden	gemeinde (SH)	10.452871	53.752722
groß schenkenberg	gemeinde (SH)	10.56488	53.793492
klinkrade	gemeinde (SH)	10.55033	53.716092
koberg	gemeinde (SH)	10.52596	53.639594
kühsen	gemeinde (SH)	10.615824	53.682661
labenz	gemeinde (SH)	10.524596	53.708352
lankau	gemeinde (SH)	10.665636	53.667879
linau	gemeinde (SH)	10.46755	53.643933
lüchow	gemeinde (SH)	10.529518	53.690744
nusse	gemeinde (SH)	10.575979	53.65908
panten	gemeinde (SH)	10.61977	53.664571
poggensee	gemeinde (SH)	10.579484	53.640102
ritzerau	gemeinde (SH)	10.567545	53.663003
sandesneben	gemeinde (SH)	10.496793	53.68797
schiphorst	gemeinde (SH)	10.461627	53.708361
schönberg	gemeinde (SH)	10.433054	53.677154
schürensöhlen	gemeinde (SH)	10.47204	53.763455
siebenbäumen	gemeinde (SH)	10.525162	53.749557
sirksfelde	gemeinde (SH)	10.509773	53.66533
steinhorst	gemeinde (SH)	10.48343	53.719989
stubben	gemeinde (SH)	10.43068	53.732928
walksfelde	gemeinde (SH)	10.575101	53.631901
wentorf (amt sandesneben)	gemeinde (SH)	10.474911	53.67663
sachsenwald (forstgutsbez.)	gemeindefreies gebiet (SH)	10.373262	53.530995
friedrichstadt	stadt (SH)	9.087943	54.37346
husum	stadt (SH)	9.051328	54.476434
reußenköge	gemeinde (SH)	8.883096	54.620428
tönning	stadt (SH)	8.941868	54.31662
sylt	gemeinde (SH)	8.30875	54.90786
kirchspiel garding	gemeinde (SH)	8.78356	54.317383
garding	stadt (SH)	8.778217	54.327962
grothusenkoog	gemeinde (SH)	8.759033	54.302739
katharinenheerd	gemeinde (SH)	8.828074	54.335199
kotzenbüll	gemeinde (SH)	8.905393	54.332136
norderfriedrichskoog	gemeinde (SH)	8.893583	54.400271
oldenswort	gemeinde (SH)	8.94255	54.372931
osterhever	gemeinde (SH)	8.765219	54.385302
poppenbüll	gemeinde (SH)	8.761168	54.361585
sankt peter-ording	gemeinde (SH)	8.640495	54.302281
tating	gemeinde (SH)	8.708512	54.325497
tetenbüll	gemeinde (SH)	8.828234	54.352013
tümlauer koog	gemeinde (SH)	8.689757	54.348337
vollerwiek	gemeinde (SH)	8.794694	54.290681
welt	gemeinde (SH)	8.79406	54.302402
westerhever	gemeinde (SH)	8.67563	54.382315
hörnum (sylt)	gemeinde (SH)	8.287218	54.756098
kampen (sylt)	gemeinde (SH)	8.342294	54.955508
list auf sylt	gemeinde (SH)	8.436183	55.020026
wenningstedt-braderup (sylt)	gemeinde (SH)	8.319785	54.931063
ahrenviöl	gemeinde (SH)	9.206895	54.531254
ahrenviölfeld	gemeinde (SH)	9.274084	54.534607
behrendorf	gemeinde (SH)	9.223509	54.565192
bondelum	gemeinde (SH)	9.26682	54.556555
haselund	gemeinde (SH)	9.182961	54.591683
immenstedt	gemeinde (SH)	9.162503	54.541449
löwenstedt	gemeinde (SH)	9.174887	54.621612
norstedt	gemeinde (SH)	9.129313	54.588429
oster-ohrstedt	gemeinde (SH)	9.227445	54.514539
schwesing	gemeinde (SH)	9.134622	54.493899
sollwitt	gemeinde (SH)	9.228482	54.594606
viöl	gemeinde (SH)	9.180557	54.568875
wester-ohrstedt	gemeinde (SH)	9.190063	54.507226
gröde	gemeinde (SH)	8.717443	54.631686
hallig hooge	gemeinde (SH)	8.550938	54.566389
langeneß	gemeinde (SH)	8.594129	54.637917
pellworm	gemeinde (SH)	8.686238	54.518632
alkersum	gemeinde (SH)	8.511244	54.708245
borgsum	gemeinde (SH)	8.460009	54.699989
dunsum	gemeinde (SH)	8.414572	54.730714999999996
midlum	gemeinde (SH)	8.518625	54.714878
nebel	gemeinde (SH)	8.353658	54.650612
nieblum	gemeinde (SH)	8.489439	54.691947
norddorf auf amrum	gemeinde (SH)	8.332935	54.679638
oevenum	gemeinde (SH)	8.530541	54.710109
oldsum	gemeinde (SH)	8.447735	54.732075
süderende	gemeinde (SH)	8.439339	54.725601
utersum	gemeinde (SH)	8.407243	54.714455
witsum	gemeinde (SH)	8.44106	54.698516
wittdün auf amrum	gemeinde (SH)	8.392971	54.626534
wrixum	gemeinde (SH)	8.549002	54.699012
wyk auf föhr	stadt (SH)	8.567212	54.691093
achtrup	gemeinde (SH)	9.028319	54.788981
aventoft	gemeinde (SH)	8.822142	54.901249
bosbüll	gemeinde (SH)	8.860437	54.822786
braderup	gemeinde (SH)	8.890308	54.835624
bramstedtlund	gemeinde (SH)	9.08724	54.840025
dagebüll	gemeinde (SH)	8.706381	54.730209
ellhöft	gemeinde (SH)	8.957598	54.888824
friedrich-wilhelm-lübke-koog	gemeinde (SH)	8.631939	54.862372
holm	gemeinde (SH)	8.860525	54.831367
humptrup	gemeinde (SH)	8.864538	54.863199
karlum	gemeinde (SH)	8.975269	54.828646
klanxbüll	gemeinde (SH)	8.679546	54.864348
klixbüll	gemeinde (SH)	8.882448	54.805242
ladelund	gemeinde (SH)	9.025311	54.84075
leck	gemeinde (SH)	8.974572	54.771914
lexgaard	gemeinde (SH)	8.943493	54.832022
neukirchen	gemeinde (SH)	8.73388	54.868905
niebüll	stadt (SH)	8.829499	54.788141
risum-lindholm	gemeinde (SH)	8.875515	54.761513
rodenäs	gemeinde (SH)	8.70031	54.888387
sprakebüll	gemeinde (SH)	9.077168	54.775904
stadum	gemeinde (SH)	9.050473	54.736011
stedesand	gemeinde (SH)	8.925525	54.738139
süderlügum	gemeinde (SH)	8.907944	54.872427
tinningstedt	gemeinde (SH)	8.929787	54.811247
uphusum	gemeinde (SH)	8.849901	54.841901
westre	gemeinde (SH)	8.987549	54.856605
galmsbüll	gemeinde (SH)	8.732055	54.775694
emmelsbüll-horsbüll	gemeinde (SH)	8.692601	54.811403
enge-sande	gemeinde (SH)	8.98049	54.726675
arlewatt	gemeinde (SH)	9.083426	54.539223
drage	gemeinde (SH)	9.160731	54.354509
elisabeth-sophien-koog	gemeinde (SH)	8.879592	54.510068
fresendelf	gemeinde (SH)	9.248765	54.39338
hattstedt	gemeinde (SH)	9.02454	54.528049
hattstedtermarsch	gemeinde (SH)	8.964562	54.554793
horstedt	gemeinde (SH)	9.069038	54.525582
hude	gemeinde (SH)	9.215821	54.387212
koldenbüttel	gemeinde (SH)	9.065906	54.384849
mildstedt	gemeinde (SH)	9.094038	54.463492
nordstrand	gemeinde (SH)	8.860249	54.484823
oldersbek	gemeinde (SH)	9.166728	54.446436
olderup	gemeinde (SH)	9.112117	54.538167
ostenfeld (husum)	gemeinde (SH)	9.230675	54.462866
ramstedt	gemeinde (SH)	9.167101	54.399905
rantrum	gemeinde (SH)	9.129606	54.44052
schwabstedt	gemeinde (SH)	9.185238	54.395651
seeth	gemeinde (SH)	9.163079	54.365824
simonsberg	gemeinde (SH)	8.97196	54.436567
süderhöft	gemeinde (SH)	9.2423	54.381912
südermarsch	gemeinde (SH)	9.08199	54.425928999999996
uelvesbüll	gemeinde (SH)	8.935322	54.415443
winnert	gemeinde (SH)	9.201381	54.433243
wisch	gemeinde (SH)	9.154149	54.408531
wittbek	gemeinde (SH)	9.204139	54.473433
witzwort	gemeinde (SH)	8.984464	54.399484
wobbenbüll	gemeinde (SH)	8.992516	54.530418
ahrenshöft	gemeinde (SH)	9.068097	54.559394
almdorf	gemeinde (SH)	9.015622	54.581075
bargum	gemeinde (SH)	8.947267	54.704209
bohmstedt	gemeinde (SH)	9.043841	54.581229
bordelum	gemeinde (SH)	8.924922	54.635913
bredstedt	stadt (SH)	8.963468	54.618658
breklum	gemeinde (SH)	8.982127	54.605121
drelsdorf	gemeinde (SH)	9.041284	54.60599
goldebek	gemeinde (SH)	9.145818	54.678836
goldelund	gemeinde (SH)	9.107425	54.678411
högel	gemeinde (SH)	9.056667	54.643538
joldelund	gemeinde (SH)	9.139662	54.652937
kolkerheide	gemeinde (SH)	9.130775	54.620407
langenhorn	gemeinde (SH)	8.933726	54.681709
lütjenholm	gemeinde (SH)	9.021561	54.684136
ockholm	gemeinde (SH)	8.827553	54.665128
sönnebüll	gemeinde (SH)	8.995888	54.63119
struckum	gemeinde (SH)	8.996888	54.584711
vollstedt	gemeinde (SH)	9.032722	54.623717
ahrensbök	gemeinde (SH)	10.573059	54.011094
bad schwartau	stadt (SH)	10.695909	53.920431
bosau	gemeinde (SH)	10.429901	54.104439
dahme	gemeinde (SH)	11.08163	54.223661
eutin	stadt (SH)	10.614962	54.138933
grömitz	gemeinde (SH)	10.961258	54.149015
grube	gemeinde (SH)	11.03599	54.23209
heiligenhafen	stadt (SH)	10.974623	54.373048
kellenhusen (ostsee)	gemeinde (SH)	11.060024	54.190749
malente	gemeinde (SH)	10.554871	54.171225
neustadt in holstein	stadt (SH)	10.818579	54.107322
oldenburg in holstein	stadt (SH)	10.88815	54.293241
ratekau	gemeinde (SH)	10.735075	53.947822
stockelsdorf	gemeinde (SH)	10.649799	53.889315
süsel	gemeinde (SH)	10.717998	54.076679
timmendorfer strand	gemeinde (SH)	10.770247	53.99638
scharbeutz	gemeinde (SH)	10.750232	54.022793
fehmarn	stadt (SH)	11.197614	54.4387
göhl	gemeinde (SH)	10.941851	54.284726
gremersdorf	gemeinde (SH)	10.927673	54.332831
großenbrode	gemeinde (SH)	11.08427	54.369696
heringsdorf	gemeinde (SH)	11.003697	54.300432
neukirchen	gemeinde (SH)	11.015153	54.323811
wangels	gemeinde (SH)	10.763598	54.271569
beschendorf	gemeinde (SH)	10.873043	54.182743
damlos	gemeinde (SH)	10.907708	54.243016
harmsdorf	gemeinde (SH)	10.828509	54.243787
kabelhorst	gemeinde (SH)	10.921118	54.215844
lensahn	gemeinde (SH)	10.883304	54.217545
manhagen	gemeinde (SH)	10.913686	54.194999
riepsdorf	gemeinde (SH)	10.969732	54.22536
altenkrempe	gemeinde (SH)	10.825665	54.13298
kasseedorf	gemeinde (SH)	10.72002	54.164947
schashagen	gemeinde (SH)	10.883528	54.134271
schönwalde am bungsberg	gemeinde (SH)	10.753453	54.187361
sierksdorf	gemeinde (SH)	10.768366	54.066261
barmstedt	stadt (SH)	9.768595	53.790385
bönningstedt	gemeinde (SH)	9.906267	53.662295
elmshorn	stadt (SH)	9.655259	53.754958
halstenbek	gemeinde (SH)	9.837557	53.633617
hasloh	gemeinde (SH)	9.91173	53.694023
helgoland	gemeinde (SH)	7.887147	54.181561
pinneberg	stadt (SH)	9.796428	53.661209
quickborn	stadt (SH)	9.8980340000000009	53.728836
rellingen	gemeinde (SH)	9.829654	53.652131
schenefeld	stadt (SH)	9.822462	53.600982
tornesch	stadt (SH)	9.711965	53.697658
uetersen	stadt (SH)	9.662396	53.684196
wedel	stadt (SH)	9.697314	53.583806
klein nordende	gemeinde (SH)	9.655072	53.725317
klein offenseth-sparrieshoop	gemeinde (SH)	9.683944	53.784835
kölln-reisiek	gemeinde (SH)	9.697647	53.757477
seester	gemeinde (SH)	9.598071	53.717709
raa-besenbek	gemeinde (SH)	9.597611	53.747963
seestermühe	gemeinde (SH)	9.56628	53.704049
seeth-ekholt	gemeinde (SH)	9.732775	53.742874
bokel	gemeinde (SH)	9.733886	53.864194
brande-hörnerkirchen	gemeinde (SH)	9.705145	53.855084
osterhorn	gemeinde (SH)	9.698588	53.868679
westerhorn	gemeinde (SH)	9.681996	53.857844
bevern	gemeinde (SH)	9.771042	53.755719
bilsen	gemeinde (SH)	9.87625	53.769901
bokholt-hanredder	gemeinde (SH)	9.735213	53.787955
bullenkuhlen	gemeinde (SH)	9.751552	53.768586
ellerhoop	gemeinde (SH)	9.770845	53.727623
groß offenseth-aspern	gemeinde (SH)	9.73009	53.817783
heede	gemeinde (SH)	9.802298	53.783499
hemdingen	gemeinde (SH)	9.836865	53.762926
langeln	gemeinde (SH)	9.85372	53.795088
lutzhorn	gemeinde (SH)	9.776787	53.825517
borstel-hohenraden	gemeinde (SH)	9.824303	53.697872
ellerbek	gemeinde (SH)	9.869621	53.657209
kummerfeld	gemeinde (SH)	9.791036	53.691612
prisdorf	gemeinde (SH)	9.761607	53.678151
tangstedt	gemeinde (SH)	9.850154	53.679272
appen	gemeinde (SH)	9.742691	53.659806
groß nordende	gemeinde (SH)	9.649515	53.70207
haselau	gemeinde (SH)	9.623636	53.660647
haseldorf	gemeinde (SH)	9.598383	53.635207
heidgraben	gemeinde (SH)	9.685133	53.705801
heist	gemeinde (SH)	9.656576	53.654819
hetlingen	gemeinde (SH)	9.63544	53.607678
holm	gemeinde (SH)	9.671854	53.622062
moorrege	gemeinde (SH)	9.659074	53.668054
neuendeich	gemeinde (SH)	9.600258	53.676281
ascheberg (holstein)	gemeinde (SH)	10.341108	54.151075
bönebüttel	gemeinde (SH)	10.0593	54.079505
bösdorf	gemeinde (SH)	10.490762	54.14153
plön	stadt (SH)	10.416369	54.158288
preetz	stadt (SH)	10.280512	54.231866
schwentinental	stadt (SH)	10.238223	54.282411
behrensdorf (ostsee)	gemeinde (SH)	10.603736	54.346515
blekendorf	gemeinde (SH)	10.650894	54.276459
dannau	gemeinde (SH)	10.541132	54.240905
giekau	gemeinde (SH)	10.506159	54.317441
helmstorf	gemeinde (SH)	10.593478	54.286644
högsdorf	gemeinde (SH)	10.615055	54.251994
hohenfelde	gemeinde (SH)	10.496402	54.370898
hohwacht (ostsee)	gemeinde (SH)	10.676409	54.317936
kirchnüchel	gemeinde (SH)	10.680134	54.20411
klamp	gemeinde (SH)	10.534124	54.296417
kletkamp	gemeinde (SH)	10.638094	54.249088
lütjenburg	stadt (SH)	10.589926	54.292744
panker	gemeinde (SH)	10.573095	54.33034
schwartbuck	gemeinde (SH)	10.478063	54.358264
tröndel	gemeinde (SH)	10.525459	54.335207
dersau	gemeinde (SH)	10.33594	54.118055
dörnick	gemeinde (SH)	10.360375	54.163392
grebin	gemeinde (SH)	10.494272	54.195932
kalübbe	gemeinde (SH)	10.283107	54.118146
lebrade	gemeinde (SH)	10.422164	54.216652
nehmten	gemeinde (SH)	10.393262	54.094848
rantzau	gemeinde (SH)	10.507361	54.253869
rathjensdorf	gemeinde (SH)	10.427748	54.185702
wittmoldt	gemeinde (SH)	10.349133	54.174882
barmissen	gemeinde (SH)	10.175384	54.204995
boksee	gemeinde (SH)	10.127708	54.242982
bothkamp	gemeinde (SH)	10.134422	54.203356
großbarkau	gemeinde (SH)	10.169008	54.225363
honigsee	gemeinde (SH)	10.187224	54.228283
kirchbarkau	gemeinde (SH)	10.142365	54.211515
klein barkau	gemeinde (SH)	10.135269	54.222719
kühren	gemeinde (SH)	10.258367	54.198376
lehmkuhlen	gemeinde (SH)	10.361157	54.225915
löptin	gemeinde (SH)	10.215744	54.175217
nettelsee	gemeinde (SH)	10.189086	54.174112
pohnsdorf	gemeinde (SH)	10.249321	54.239647
postfeld	gemeinde (SH)	10.21641	54.211309
rastorf	gemeinde (SH)	10.289064	54.272603
schellhorn	gemeinde (SH)	10.299476	54.227597
wahlstorf	gemeinde (SH)	10.294716	54.178083
warnau	gemeinde (SH)	10.160154	54.18792
barsbek	gemeinde (SH)	10.320134	54.404132
bendfeld	gemeinde (SH)	10.419437	54.364157
brodersdorf	gemeinde (SH)	10.249254	54.385481
fahren	gemeinde (SH)	10.33813	54.349552
fiefbergen	gemeinde (SH)	10.34277	54.379311
höhndorf	gemeinde (SH)	10.370674	54.372619
köhn	gemeinde (SH)	10.455111	54.34444
krokau	gemeinde (SH)	10.341593	54.402446
krummbek	gemeinde (SH)	10.400709	54.37814
laboe	gemeinde (SH)	10.224323	54.404031
lutterbek	gemeinde (SH)	10.276816	54.391952
passade	gemeinde (SH)	10.316786	54.366581
prasdorf	gemeinde (SH)	10.296264	54.378679
probsteierhagen	gemeinde (SH)	10.288376	54.362604
schönberg (holstein)	gemeinde (SH)	10.372476	54.39239
stakendorf	gemeinde (SH)	10.422791	54.388445
stein	gemeinde (SH)	10.268846	54.414659
stoltenberg	gemeinde (SH)	10.346508	54.344759
wendtorf	gemeinde (SH)	10.292376	54.409817
